index,VocalTractLength,AirSacLength,AirSacArea,LipProtrusion,LipRounding,F1,F2
51300,18,2,30,3.8,1,375,729
51120,18,2,30,3.8,0.6,376,729
51210,18,2,30,3.8,0.8,376,729
51030,18,2,30,3.8,0.4,377,729
50940,18,2,30,3.8,0.2,378,729
50850,18,2,30,3.6,1,378,730
50670,18,2,30,3.6,0.6,379,730
50760,18,2,30,3.6,0.8,379,730
50580,18,2,30,3.6,0.4,380,730
50400,18,2,30,3.4,1,381,731
50490,18,2,30,3.6,0.2,381,731
50310,18,2,30,3.4,0.8,382,731
42750,17.5,2,30,3.8,1,383,731
50220,18,2,30,3.4,0.6,383,731
50130,18,2,30,3.4,0.4,383,732
42570,17.5,2,30,3.8,0.6,384,732
42660,17.5,2,30,3.8,0.8,384,732
50040,18,2,30,3.4,0.2,384,732
42480,17.5,2,30,3.8,0.4,385,732
49860,18,2,30,3.2,0.8,385,732
49950,18,2,30,3.2,1,385,732
42390,17.5,2,30,3.8,0.2,386,732
49770,18,2,30,3.2,0.6,386,732
42300,17.5,2,30,3.6,1,386,733
49680,18,2,30,3.2,0.4,386,733
42120,17.5,2,30,3.6,0.6,387,733
42210,17.5,2,30,3.6,0.8,387,733
49590,18,2,30,3.2,0.2,387,733
42030,17.5,2,30,3.6,0.4,388,733
49410,18,2,30,3,0.8,388,733
49500,18,2,30,3,1,388,733
41850,17.5,2,30,3.4,1,389,734
41940,17.5,2,30,3.6,0.2,389,734
49320,18,2,30,3,0.6,389,734
41760,17.5,2,30,3.4,0.8,390,734
49140,18,2,30,3,0.2,390,734
49230,18,2,30,3,0.4,390,734
34200,17,2,30,3.8,1,391,734
41670,17.5,2,30,3.4,0.6,391,734
49050,18,2,30,2.8,1,391,734
41580,17.5,2,30,3.4,0.4,391,735
34020,17,2,30,3.8,0.6,392,735
34110,17,2,30,3.8,0.8,392,735
41490,17.5,2,30,3.4,0.2,392,735
48870,18,2,30,2.8,0.6,392,735
48960,18,2,30,2.8,0.8,392,735
33930,17,2,30,3.8,0.4,393,735
41310,17.5,2,30,3.2,0.8,393,735
41400,17.5,2,30,3.2,1,393,735
48780,18,2,30,2.8,0.4,393,735
33840,17,2,30,3.8,0.2,394,735
48690,18,2,30,2.8,0.2,394,735
33750,17,2,30,3.6,1,394,736
41220,17.5,2,30,3.2,0.6,394,736
48600,18,2,30,2.6,1,394,736
33660,17,2,30,3.6,0.8,395,736
41040,17.5,2,30,3.2,0.2,395,736
41130,17.5,2,30,3.2,0.4,395,736
48510,18,2,30,2.6,0.8,395,736
33480,17,2,30,3.6,0.4,396,736
33570,17,2,30,3.6,0.6,396,736
40950,17.5,2,30,3,1,396,736
48330,18,2,30,2.6,0.4,396,736
48420,18,2,30,2.6,0.6,396,736
33390,17,2,30,3.6,0.2,397,737
40770,17.5,2,30,3,0.6,397,737
40860,17.5,2,30,3,0.8,397,737
48240,18,2,30,2.6,0.2,397,737
33210,17,2,30,3.4,0.8,398,737
33300,17,2,30,3.4,1,398,737
40680,17.5,2,30,3,0.4,398,737
48060,18,2,30,2.4,0.8,398,737
48150,18,2,30,2.4,1,398,737
33120,17,2,30,3.4,0.6,399,737
40590,17.5,2,30,3,0.2,399,737
47970,18,2,30,2.4,0.6,399,737
25650,16.5,2,30,3.8,1,399,738
40500,17.5,2,30,2.8,1,399,738
25560,16.5,2,30,3.8,0.8,400,738
32940,17,2,30,3.4,0.2,400,738
33030,17,2,30,3.4,0.4,400,738
40410,17.5,2,30,2.8,0.8,400,738
47790,18,2,30,2.4,0.2,400,738
47880,18,2,30,2.4,0.4,400,738
25470,16.5,2,30,3.8,0.6,401,738
32850,17,2,30,3.2,1,401,738
40320,17.5,2,30,2.8,0.6,401,738
47700,18,2,30,2.2,1,401,738
25380,16.5,2,30,3.8,0.4,402,738
32760,17,2,30,3.2,0.8,402,738
40230,17.5,2,30,2.8,0.4,402,738
47610,18,2,30,2.2,0.8,402,738
51297,18,2,29,3.8,1,375,739
51207,18,2,29,3.8,0.8,376,739
51027,18,2,29,3.8,0.4,377,739
51117,18,2,29,3.8,0.6,377,739
25290,16.5,2,30,3.8,0.2,402,739
40140,17.5,2,30,2.8,0.2,402,739
25200,16.5,2,30,3.6,1,403,739
32580,17,2,30,3.2,0.4,403,739
32670,17,2,30,3.2,0.6,403,739
40050,17.5,2,30,2.6,1,403,739
47430,18,2,30,2.2,0.4,403,739
47520,18,2,30,2.2,0.6,403,739
25020,16.5,2,30,3.6,0.6,404,739
25110,16.5,2,30,3.6,0.8,404,739
32490,17,2,30,3.2,0.2,404,739
39870,17.5,2,30,2.6,0.6,404,739
39960,17.5,2,30,2.6,0.8,404,739
