LipProtrusion;LipRounding;AirSacLength;AirSacArea;F1;F2;
1;1;1;1;415;1248;
1;1;1;2;425;1270;
1;1;1;3;428;1275;
1;1;1;4;430;1275;
1;1;1;5;431;1272;
1;1;1;6;431;1268;
1;1;1;7;432;1263;
1;1;1;8;432;1257;
1;1;1;9;432;1250;
1;1;1;10;432;1242;
1;1;1;11;432;1233;
1;1;1;12;432;1223;
1;1;1;13;432;1213;
1;1;1;14;432;1202;
1;1;1;15;432;1190;
1;1;1;16;432;1177;
1;1;1;17;432;1164;
1;1;1;18;432;1150;
1;1;1;19;432;1136;
1;1;1;20;432;1122;
1;1;1;21;432;1108;
1;1;1;22;432;1094;
1;1;1;23;431;1081;
1;1;1;24;431;1067;
1;1;1;25;431;1053;
1;1;1;26;431;1040;
1;1;1;27;431;1027;
1;1;1;28;431;1015;
1;1;1;29;431;1002;
1;1;1;30;430;990;
1;1;2;1;397;1192;
1;1;2;2;415;1225;
1;1;2;3;421;1230;
1;1;2;4;424;1225;
1;1;2;5;426;1213;
1;1;2;6;427;1197;
1;1;2;7;427;1177;
1;1;2;8;428;1154;
1;1;2;9;428;1129;
1;1;2;10;428;1103;
1;1;2;11;428;1076;
1;1;2;12;428;1050;
1;1;2;13;428;1025;
1;1;2;14;428;1001;
1;1;2;15;428;978;
1;1;2;16;428;956;
1;1;2;17;428;935;
1;1;2;18;427;915;
1;1;2;19;427;897;
1;1;2;20;427;879;
1;1;2;21;426;863;
1;1;2;22;426;847;
1;1;2;23;426;832;
1;1;2;24;425;818;
1;1;2;25;425;804;
1;1;2;26;425;792;
1;1;2;27;424;780;
1;1;2;28;424;768;
1;1;2;29;423;757;
1;1;2;30;423;747;
1;1;1.5;1;406;1219;
1;1;1.5;2;420;1248;
1;1;1.5;3;425;1254;
1;1;1.5;4;427;1252;
1;1;1.5;5;428;1246;
1;1;1.5;6;429;1237;
1;1;1.5;7;430;1226;
1;1;1.5;8;430;1212;
1;1;1.5;9;430;1197;
1;1;1.5;10;430;1179;
1;1;1.5;11;430;1161;
1;1;1.5;12;430;1141;
1;1;1.5;13;430;1121;
1;1;1.5;14;430;1100;
1;1;1.5;15;430;1080;
1;1;1.5;16;430;1060;
1;1;1.5;17;430;1040;
1;1;1.5;18;430;1021;
1;1;1.5;19;430;1003;
1;1;1.5;20;429;985;
